iter	RMSE
0	4803922.064
1	4448298.812
2	4119988.617
3	3819147.061
4	3537652.693
5	3285174.35
6	3041608.563
7	2826666.429
8	2618192.49
9	2430329.453
10	2250965.906
11	2088431.579
12	1937913.066
13	1799243.461
14	1670201.808
15	1550298.807
16	1439079.529
17	1336294.359
18	1243413.945
19	1155851.052
20	1074790.009
21	1000281.932
22	931267.9051
23	868657.7332
24	808617.9251
25	753955.8191
26	703401.3867
27	657379.4161
28	613781.5893
29	573280.1131
30	536849.7582
31	502974.8581
32	470938.6964
33	441552.114
34	414668.9908
35	390113.2571
36	367596.9211
37	347237.4793
38	328058.4542
39	309867.4084
40	293519.656
41	278210.8055
42	264623.1896
43	251894.8182
44	240340.0771
45	229964.4781
46	220433.8108
47	211071.9607
48	202779.9541
49	194925.7028
50	187603.7158
51	181202.4244
52	175349.7518
53	170046.8095
54	165262.9915
55	160901.7567
56	156914.0552
57	153235.1882
58	149679.7833
59	146397.4251
60	143359.8588
61	140477.2123
62	137641.2574
63	135194.4296
64	133133.3874
65	132045.0776
66	130370.6439
67	128475.0662
68	127988.9385
69	126091.362
70	124640.808
71	123169.4706
72	122723.5514
73	122323.6131
74	120987.9386
75	120564.2208
76	120208.2092
77	118885.5404
78	118480.6004
79	118164.8899
80	117867.9384
81	116756.2732
82	115785.7947
83	115526.1689
84	115215.369
85	113908.4722
86	113639.8702
87	113375.8437
88	113162.5234
89	111667.7539
90	111461.9517
91	111265.409
92	110566.0054
93	109806.33
94	109654.0293
95	109441.6611
96	109272.1115
97	109123.9984
98	108262.0688
99	107101.9935
100	106965.6592
101	106201.4094
102	105685.049
103	105580.912
104	105440.1433
105	105321.042
106	104656.3796
107	104568.1178
108	103823.0338
109	103737.5723
110	103646.0342
111	103560.4431
112	103119.9986
113	103048.716
114	102947.1314
115	101814.5635
116	101732.4802
117	101651.3701
118	101231.9921
119	101159.3965
120	101099.4628
121	101036.3499
122	100610.421
123	100483.3258
124	100199.7982
125	99855.35937
126	99323.44837
127	99170.95711
128	98748.3506
129	98707.0038
130	98596.11246
131	97863.83385
132	96871.57734
133	96661.82441
134	96581.63229
135	96510.71128
136	96413.45669
137	95505.57456
138	94568.55208
139	94394.21525
140	93621.57694
141	93189.08555
142	92793.56414
143	92659.49736
144	92465.17274
145	91843.50024
146	91653.92974
147	91040.63769
148	90263.98409
149	90233.45547
150	89813.53974
151	89608.83793
152	89488.5826
153	89319.6989
154	88997.38868
155	88770.60587
156	88572.99442
157	87487.63256
158	86830.98213
159	86671.4722
160	86314.17432
161	86187.17532
162	86069.88599
163	85937.27623
164	85452.2819
165	85329.70693
166	85097.26467
167	84160.9927
168	83964.88352
169	83372.8563
170	82565.12694
171	81972.15702
172	81682.65599
173	81572.75904
174	81434.04903
175	81027.89739
176	80275.16504
177	79618.1844
178	79259.99569
179	78623.24887
180	78124.78573
181	77745.90118
182	77218.33858
183	76901.65638
184	76589.5824
185	76268.75918
186	75795.61124
