iter	Passed	Remaining
0	144	144241
1	151	75577
2	156	52157
3	162	40480
4	167	33384
5	173	28701
6	178	25310
7	183	22750
8	188	20764
9	193	19189
10	198	17886
11	204	16819
12	209	15891
13	214	15135
14	220	14465
15	225	13880
16	231	13361
17	236	12913
18	242	12519
19	248	12161
20	253	11826
21	259	11524
22	264	11242
23	270	10980
24	275	10740
25	280	10520
26	286	10313
27	292	10141
28	297	9968
29	303	9803
30	309	9662
31	314	9516
32	320	9378
33	325	9249
34	331	9126
35	336	9023
36	342	8919
37	348	8821
38	354	8725
39	359	8633
40	365	8545
41	370	8460
42	376	8377
43	382	8301
44	387	8226
45	393	8154
46	398	8088
47	404	8019
48	409	7955
49	415	7896
50	421	7835
51	426	7780
52	432	7735
53	438	7686
54	444	7640
55	450	7595
56	456	7551
57	462	7508
58	467	7463
59	474	7427
60	479	7386
61	485	7342
62	491	7311
63	496	7267
64	502	7222
65	508	7190
66	513	7151
67	519	7119
68	525	7086
69	531	7055
70	536	7022
71	542	6986
72	547	6955
73	553	6922
74	558	6892
75	564	6861
76	569	6832
77	575	6803
78	581	6774
79	587	6752
80	592	6725
81	598	6699
82	603	6672
83	609	6644
84	614	6620
85	620	6598
86	626	6575
87	632	6551
88	637	6524
89	642	6500
90	648	6479
91	653	6454
92	659	6430
93	664	6406
94	669	6378
95	675	6359
96	680	6339
97	686	6320
98	692	6305
99	698	6286
100	703	6265
101	710	6251
102	715	6234
103	721	6218
104	727	6203
105	733	6186
106	739	6172
107	744	6152
108	750	6138
109	756	6117
110	762	6104
111	767	6085
112	773	6069
113	779	6055
114	785	6042
115	791	6030
116	797	6016
117	802	6000
118	808	5988
119	814	5973
120	820	5958
121	826	5945
122	832	5936
123	838	5925
124	845	5916
125	851	5907
126	858	5900
127	864	5892
128	871	5887
129	878	5876
130	884	5864
131	890	5855
132	896	5844
133	902	5830
134	907	5817
135	913	5803
136	919	5790
137	925	5782
138	932	5774
139	937	5761
140	943	5748
141	949	5736
142	955	5726
